anji,24.992669218651628,25
axl,22.068043172724774,18
baiken,6.8754784386163035,43
chipp,30.925137925914374,7
dick,17.093227030447036,4
faust,12.993939832364202,23
gio,30.5665404458478,6
happy,20.35892543513643,2
ino,28.966280079903402,15
jacko,16.46680103939981,3
kyle,39.07165090046739,8
leo,20.428795341231567,5
may,25.096223223231295,1
milia,26.1735844352959,11
nago,42.207540221114655,32
pot,19.322640192856497,0
ram,37.36200006396716,38
sol,53.83779778077157,35
zato,25.59055876459246,26
