anji,8.592979977752188,25
axl,10.973359118495992,18
baiken,3.0936168757468594,43
chipp,12.243000484886453,7
dick,6.950048781472933,4
faust,5.578904017675205,23
gio,11.381431884799804,6
happy,9.0933145392766,2
ino,12.998285077966713,15
jacko,7.030277760519433,3
kyle,13.596444590264444,8
leo,6.951127790389652,5
may,11.078683995142075,1
milia,11.23649613450976,11
nago,15.509847564937562,32
pot,6.995942081529463,0
ram,12.658047513739575,38
sol,18.847547066581924,35
zato,10.40573649081918,26
