anji,13.57842058390779,25
axl,14.908328302499578,18
baiken,4.385151961360402,43
chipp,18.106281223831793,7
dick,9.998341782229087,4
faust,7.854714294123172,23
gio,17.420980555559094,6
happy,12.880948413658357,2
ino,18.501194352587184,15
jacko,10.18107008092504,3
kyle,21.73468813325876,8
leo,11.20526153404982,5
may,15.56289429441618,1
milia,16.198621067793734,11
nago,23.692630044720108,32
pot,10.966097847906775,0
ram,20.168806499599757,38
sol,29.982017816500726,35
zato,15.323188353796711,26
